epoch,train_loss,val_loss,train_ppl,val_ppl,train_acc,val_acc
1,6.537063117798572,5.528677225112915,690.2563965683179,251.81060188515855,0.22182358748995587,0.33264488468665526
2,5.417185187524833,4.872611999511719,225.2442091303848,130.66176001500406,0.35820786467874755,0.41861309164838223
3,4.944410361846905,4.574099166052682,140.38804829255938,96.9406723428323,0.4185605473716584,0.45762969496545686
4,4.67383815027549,4.4348617281232565,107.10805131182947,84.34046216800672,0.45368098878455876,0.4765867072316439
5,4.490778937394557,4.338297775813511,89.19089294945937,76.57707697914144,0.47846830362223897,0.48672097817122634
6,4.352871674108639,4.322606597627912,77.70127559078286,75.38487044322645,0.49808475202756197,0.491885697797889
7,4.24583285567702,4.304286548069546,69.81388082445362,74.01638947473529,0.5141739827957219,0.49649513668204587
8,4.1553492954672215,4.273287245205471,63.77423670961207,71.75713162749425,0.5284025488439456,0.4978454599081713
9,4.075826694194814,4.2750305618558615,58.89915205444909,71.88233613368527,0.541634662348105,0.5026417918418827
10,4.003627734834161,4.280597073691232,54.79657734712355,72.28358575280974,0.55338809213139,0.4968160275381929
11,3.9372236647246157,4.2851206575121195,51.276044008913814,72.61130729091887,0.564500791162554,0.4997150689011895
12,3.8769499891406074,4.299309475081308,48.27674569543927,73.64891972243971,0.5745541452192533,0.49871004807507174
